description,details,money,pub_name
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.11
/word",bookforum
"2500 word criticism, review, or arts/entertainment converage",,"$0.32
/word",bookforum
,,"$80
flat",bookforum
,,"$40
flat",bookforum
"criticism, review, or arts/entertainment converage",,"$150
flat",bookforum
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",books  culture
,,,bookslut
,,,bookslut
~3000 word feature,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.17
/word",boom a journal of california
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.63
/word",boston globe
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",boston globe
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",boston globe
"700 word criticism, review, or arts/entertainment converage",,"$0.43
/word",boston globe
"700 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.71
/word",boston globe magazine
~1500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.33
/word",boston globe magazine
2000 word feature,,"$1.00
/word",boston globe magazine
"~750 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",boston herald
feature,,,boston magazine
,,,boston phoenix
~5000 word fiction,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",boston review
,Cold pitch (no pre existing relationship),"$250
flat",boston review
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",boulder weekly
334 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.90
/word",boys life magazine
300 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",boys life magazine
~125 word other,Medium reporting; Cold pitch (no pre existing relationship),"$1.60
/word",boys life magazine
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",brain world
1100 word news story,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.11
/word",brickunderground
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",bright
2400 word,,"$0.01
/word",bright walldark room
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",bright walldark room
1000 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",brit  co
"1200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",brit  co
"850 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",brit  co
500 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",brit  co
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",broadly
1000 word,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",broadly
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",broadly
"1200 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.21
/word",broadly
"1395 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",broadly
"1000 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.20
/word",broadly
1200 word,,"$0.21
/word",broadly
250 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$1.00
/word",broadly
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.31
/word",broadly
~1500 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.20
/word",broadly
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.31
/word",broadly vice
1500 word,,"$0.20
/word",broadly vice
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",broadly vice
"~1500 word criticism, review, or arts/entertainment converage",Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",broadly vice
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",broadly vice
1050 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",broadly vice
1600 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",broadly vice
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",broadly vice
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",brobible
~750 word fiction,Little to no reporting; Cold pitch (no pre existing relationship),"$0.12
/word",broken pencil
~750 word profile or interview,Heavy/Investigative reporting; Assignment (editor came to you),"$0.13
/word",brooklyn exposed
300 word,,"$0.33
/word",brooklyn magazine
450 word fob,Medium reporting; Assignment (editor came to you),"$0.39
/word",brooklyn magazine
300 word fob,Medium reporting; Assignment (editor came to you),"$0.58
/word",brooklyn magazine
"1800 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",brooklyn magazine
"800 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.25
/word",brooklyn magazine
"2000 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",brooklyn magazine
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",brooklyn magazine
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",brooklyn rail
"839 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",brooklyn rail
1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",brooklyn rail
,,,brooklyn rail
~750 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.33
/word",brown alumni magazine
650 word news story,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.77
/word",bu today
,,"$400
flat",budget travel magazine
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Assignment (editor came to you),"$0.07
/word",bullett
"1224 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",burnawayorg
600 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.25
/word",businessweek
~3000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.08
/word",businessweek
1000 word feature,,"$1.75
/word",businessweek
850 word,,"$0.00
/word",bust
"2000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",bust
" 700 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",bust
"1000 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",bust
900 word fiction,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.06
/word",bust
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",bust
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",bust
,,"$50
flat",bust
,,"$100
flat",bust
350 word,,"$0.10
/word",bust
fob,,"$50
flat",bust
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",bustle
2000 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.35
/word",bustle
200 word news story,Little to no reporting; Other,"$0.00
/word",bustle
1000 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",bustle
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.27
/word",bustle
700 word,,"$0.07
/word",bustle
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",bustle
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",bustle
2000 word feature,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.03
/word",bustle
~750 word news story,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",bustle
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",bustle
400 word,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",buzzfeed
"1800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.19
/word",buzzfeed
6000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.10
/word",buzzfeed
6000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.50
/word",buzzfeed
