description,details,money,pub_name,rate,type
"1139 word criticism, review, or arts/entertainment coverage",Little to no reporting; Assignment (editor came to you),"$0.04
/word",bitch,0.04,word
1500 word,,"$0.01
/word",bitch,0.01,word
1500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",bitch,0.03,word
1500 word,,"$0.05
/word",bitch,0.05,word
2160 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",bitch,0.02,word
"300 word criticism, review, or arts/entertainment coverage",Little to no reporting; Assignment (editor came to you),"$0.13
/word",bitch,0.13,word
"1800 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",bitch,0.03,word
1600 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.22
/word",bitch,0.22,word
"1600 word criticism, review, or arts/entertainment coverage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",bitch,0.05,word
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",bitch,0.05,word
~750 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",bitch,0.07,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.01
/word",bitch,0.01,word
~1500 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.01
/word",bitch,0.01,word
"400 word criticism, review, or arts/entertainment converage",,"$0.10
/word",bitch,0.1,word
800 word fob,,"$0.03
/word",bitch,0.03,word
450 word news story,Medium reporting; Other,"$0.03
/word",blasting news us,0.03,word
360 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",blasting news us,0.0,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",blavity,0.07,word
500 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",blue ridge country magazine,0.25,word
~125 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.60
/word",blue ridge country magazine,0.6,word
~1500 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.25
/word",boiler room,0.25,word
800 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",boing boing,0.5,word
700 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",bonappetitcom,0.5,word
600 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.42
/word",bonappetitcom,0.42,word
"687 word opinion, editorial, column or essay",Little to no reporting; Other,"$0.07
/word",book riot,0.07,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",bookforum,0.08,word
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.11
/word",bookforum,0.11,word
"2500 word criticism, review, or arts/entertainment converage",,"$0.32
/word",bookforum,0.32,word
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",books  culture,0.17,word
~3000 word feature,Heavy/Investigative reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.17
/word",boom a journal of california,0.17,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.63
/word",boston globe,0.63,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",boston globe,0.1,word
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",boston globe,0.4,word
"700 word criticism, review, or arts/entertainment converage",,"$0.43
/word",boston globe,0.43,word
"700 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.71
/word",boston globe magazine,0.71,word
~1500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.33
/word",boston globe magazine,1.33,word
2000 word feature,,"$1.00
/word",boston globe magazine,1.0,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",boston herald,0.13,word
~5000 word fiction,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",boston review,0.06,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",boulder weekly,0.03,word
334 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.90
/word",boys life magazine,0.9,word
300 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",boys life magazine,1.0,word
~125 word other,Medium reporting; Cold pitch (no pre existing relationship),"$1.60
/word",boys life magazine,1.6,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",brain world,0.0,word
1100 word news story,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.11
/word",brickunderground,0.11,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",bright,0.25,word
2400 word,,"$0.01
/word",bright walldark room,0.01,word
"1500 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.02
/word",bright walldark room,0.02,word
1000 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",brit  co,0.04,word
"1200 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",brit  co,0.04,word
"850 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",brit  co,0.07,word
500 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",brit  co,0.06,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.25
/word",broadly,0.25,word
1000 word,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",broadly,0.3,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",broadly,0.2,word
"1200 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.21
/word",broadly,0.21,word
"1395 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",broadly,0.15,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.20
/word",broadly,0.2,word
1200 word,,"$0.21
/word",broadly,0.21,word
250 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$1.00
/word",broadly,1.0,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.31
/word",broadly,0.31,word
~1500 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.20
/word",broadly,0.2,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.31
/word",broadly vice,0.31,word
1500 word,,"$0.20
/word",broadly vice,0.2,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",broadly vice,0.2,word
"~1500 word criticism, review, or arts/entertainment converage",Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",broadly vice,0.2,word
1000 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",broadly vice,0.35,word
1050 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",broadly vice,0.33,word
1600 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",broadly vice,0.13,word
~3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",broadly vice,0.17,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",brobible,0.04,word
~750 word fiction,Little to no reporting; Cold pitch (no pre existing relationship),"$0.12
/word",broken pencil,0.12,word
~750 word profile or interview,Heavy/Investigative reporting; Assignment (editor came to you),"$0.13
/word",brooklyn exposed,0.13,word
300 word,,"$0.33
/word",brooklyn magazine,0.33,word
450 word fob,Medium reporting; Assignment (editor came to you),"$0.39
/word",brooklyn magazine,0.39,word
300 word fob,Medium reporting; Assignment (editor came to you),"$0.58
/word",brooklyn magazine,0.58,word
"1800 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",brooklyn magazine,0.06,word
"800 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.25
/word",brooklyn magazine,0.25,word
"2000 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",brooklyn magazine,0.05,word
1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",brooklyn magazine,0.13,word
"800 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.06
/word",brooklyn rail,0.06,word
"839 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",brooklyn rail,0.06,word
1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",brooklyn rail,0.03,word
~750 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.33
/word",brown alumni magazine,0.33,word
650 word news story,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.77
/word",bu today,0.77,word
"~1500 word criticism, review, or arts/entertainment converage",Little to no reporting; Assignment (editor came to you),"$0.07
/word",bullett,0.07,word
"1224 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",burnawayorg,0.1,word
600 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.25
/word",businessweek,1.25,word
~3000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.08
/word",businessweek,0.08,word
1000 word feature,,"$1.75
/word",businessweek,1.75,word
850 word,,"$0.00
/word",bust,0.0,word
"2000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",bust,0.07,word
" 700 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",bust,0.0,word
